zip,geoid,state_name,county_name,city_name,aland,median_household_income,median_household_income_moe,average_household_income,average_household_income_moe,per_capita_income,per_capita_income_moe,percent_of_households_with_incomes_200000_or_more,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_under_25_years_moe,householder_25_to_44_years,householder_25_to_44_years_moe,householder_45_to_64_years,householder_45_to_64_years_moe,householder_65_years_and_over,householder_65_years_and_over_moe,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,population_density_sq_mi,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,hh_families,hh_mc_families,hh_mc_with_own_children_under_18,hh_sp_families,hh_sp_with_own_children_under_18,hh_non_families
93630,86000US93630,California,Fresno,Biola; Kerman,"403,159,289","$49,360","$7,927","$74,483","$8,878","$20,421","$2,338",3.7%,2.3%,"$37,955","$23,610","$48,275","$10,463","$70,208","$14,631","$30,403","$7,814","5,373","1,148","1,571",782,628,776,270,198,"20,764","3,331",94,26,744,43,127,214,"16,185",133.4,"20,764","1,798","1,821","1,523","1,434","1,157",999,762,578,"1,862","2,132","1,647","1,418","1,361",887,832,553,28.1,"11,580",41.1%,27.3%,23.3%,6.3%,1.9%,"4,401",18.8%,"9,294",7.2%,"5,618","$227,600","5,373","4,401","3,091","1,674","1,310",787,972
93631,86000US93631,California,Fresno; Kings; Tulare,Kingsburg; Traver,"207,801,322","$68,502","$8,206","$93,712","$10,578","$31,666","$3,464",8.4%,2.5%,"$62,721","$31,438","$79,609","$9,428","$90,843","$17,088","$39,360","$13,977","5,387","1,157",898,799,"1,039",704,337,453,"16,282","7,394",38,42,538,0,29,552,"7,689",202.9,"16,282","1,305","1,388","1,077","1,155","1,176",790,817,917,"1,037","1,192","1,053","1,060","1,009",860,648,798,34.9,"10,259",17.1%,21.8%,33.5%,19.2%,8.4%,"4,014",10.8%,"7,339",5.5%,"5,583","$292,200","5,387","4,014","3,258","1,611",756,417,"1,373"
93633,86000US93633,California,Fresno; Tulare,Wilsonia,"54,320,450",-$1,-$1,-$1,-$1,-$1,-$1,-1.0%,-1.0%,-$1,-$1,-$1,-$1,-$1,-$1,-$1,-$1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0,0.0%,0,0.0%,351,-$1,0,0,0,0,0,0,0
93634,86000US93634,California,Fresno,Big Creek,"3,068,400,352",-$1,-$1,-$1,-$1,"$27,018","$17,680",0.0%,100.0%,-$1,-$1,-$1,-$1,-$1,-$1,-$1,-$1,2,0,0,0,0,2,0,0,22,11,8,0,0,0,0,0,3,0.0,22,0,0,11,0,0,2,0,0,0,0,0,6,0,3,0,0,30.0,17,35.3%,0.0%,17.6%,47.1%,0.0%,2,0.0%,22,22.7%,709,-$1,2,2,2,0,0,0,0
93635,86000US93635,California,Merced,Los Banos; Volta,"673,431,411","$62,526","$4,524","$79,412","$6,533","$22,901","$1,867",3.3%,1.3%,"$65,179","$12,499","$54,832","$15,732","$70,538","$8,918","$49,485","$11,851","11,473","2,061","2,639","2,128","1,849","1,491",925,380,"41,180","8,722",943,165,"1,086",306,8,676,"29,274",158.4,"41,180","4,152","3,418","2,342","2,690","2,599","1,799","1,778","1,606","3,413","4,171","2,751","2,916","2,550","2,310","1,499","1,186",30.7,"23,688",30.6%,30.2%,28.9%,7.1%,3.1%,"9,259",14.9%,"18,048",12.8%,"12,197","$298,700","11,473","9,259","6,723","3,558","2,536","1,524","2,214"
93636,86000US93636,California,Madera,Bonadelle Ranchos-Madera Ranchos; Rolling Hills,"506,386,117","$83,977","$6,576","$101,693","$7,412","$33,202","$2,722",8.5%,2.2%,-$1,-$1,"$88,558","$13,121","$105,435","$18,269","$62,500","$12,156","4,285",358,819,720,596,998,428,366,"13,255","7,390",166,315,402,5,0,340,"4,637",67.8,"13,255",576,959,750,551,940,899,"1,264",596,"1,008","1,085",682,541,751,833,"1,077",743,43.4,"8,836",12.0%,22.6%,38.9%,16.4%,10.1%,"3,707",6.6%,"5,674",5.4%,"4,494","$331,400","4,285","3,707","3,172","1,048",535,286,578
93637,86000US93637,California,Madera,Fairmead; La Vina; Madera; Parkwood,"700,619,017","$56,462","$4,483","$72,298","$4,687","$22,691","$1,561",2.8%,1.4%,"$41,286","$13,120","$58,696","$5,447","$69,155","$15,254","$42,026","$7,415","12,360","2,171","3,397","2,021","1,763","2,115",541,352,"41,108","8,794","1,373",143,"1,223",0,120,497,"28,958",152.0,"41,108","4,042","3,511","2,892","2,842","2,987","2,280","1,554","1,865","3,175","3,623","2,437","2,658","2,544","1,742","1,477","1,479",31.0,"24,127",30.5%,25.0%,31.3%,9.8%,3.4%,"9,622",13.1%,"18,320",7.1%,"13,264","$244,300","12,360","9,622","6,833","3,607","2,789","1,717","2,738"
93638,86000US93638,California,Madera,Fairmead; Madera; Madera Acres; Parksdale,"245,614,871","$45,811","$2,734","$61,182","$3,774","$16,293","$1,116",2.2%,1.1%,"$37,969","$17,572","$39,724","$5,365","$54,184","$14,539","$39,583","$12,427","12,214","3,103","3,529","2,150","1,323","1,466",377,266,"49,932","6,218","1,574",90,229,71,0,647,"41,103",526.5,"49,932","4,682","4,070","3,552","3,392","3,138","2,179","1,872","1,702","4,502","4,525","4,760","3,186","2,934","2,387","1,689","1,362",28.4,"27,511",47.8%,21.5%,22.8%,6.2%,1.7%,"10,471",26.3%,"21,931",12.1%,"13,076","$207,800","12,214","10,471","7,079","3,699","3,392","2,066","1,743"
93640,86000US93640,California,Fresno,Mendota,"292,820,299","$30,752","$5,131","$40,925","$5,065","$10,183","$1,159",0.9%,1.5%,"$15,125","$8,056","$28,847","$5,977","$39,496","$5,785","$26,500","$8,136","2,966","1,105","1,085",448,189,103,9,27,"12,920",454,297,0,55,0,0,30,"12,084",114.3,"12,920","1,239","1,017",917,965,544,676,294,340,"1,234","1,263",924,"1,142",978,833,409,145,29.2,"7,261",65.0%,19.7%,13.0%,1.5%,0.7%,"2,481",36.6%,"5,273",19.6%,"3,152","$159,800","2,966","2,481","1,454",955,"1,027",641,485
93641,86000US93641,California,Fresno,Squaw Valley,"82,701,732",-$1,-$1,"$40,081","$52,070","$23,150","$23,735",0.0%,23.6%,-$1,-$1,-$1,-$1,-$1,-$1,-$1,-$1,128,83,13,16,0,0,16,0,223,201,4,0,0,0,0,2,16,7.0,223,0,0,0,0,0,31,15,0,0,1,3,26,15,36,80,16,59.0,222,8.1%,36.5%,54.5%,0.9%,0.0%,31,48.4%,66,28.8%,383,"$232,800",128,31,31,0,0,0,97
93643,86000US93643,California,Madera,,"322,495,749","$58,819","$11,050","$68,244","$8,456","$30,737","$4,381",3.5%,2.6%,-$1,-$1,"$70,607","$9,809","$52,645","$12,105","$59,306","$19,350","1,243",258,290,272,160,167,52,44,"2,783","1,920",0,197,54,0,0,104,508,22.4,"2,783",59,133,92,160,122,130,275,223,230,198,93,167,165,171,225,340,49.5,"2,113",9.7%,24.9%,43.4%,12.4%,9.6%,779,15.4%,"1,115",9.1%,"1,881","$246,500","1,243",779,547,136,232,74,464
93644,86000US93644,California,Madera,Ahwahnee; Oakhurst,"240,255,065","$51,745","$7,235","$73,601","$9,807","$29,908","$4,302",5.6%,3.5%,"$73,162","$58,364","$50,553","$12,425","$59,293","$26,832","$48,542","$12,763","3,559",828,881,607,321,480,242,200,"9,055","7,068",0,57,253,0,0,121,"1,556",97.6,"9,055",504,314,688,566,343,756,733,802,660,190,713,293,281,507,773,932,49.2,"6,895",8.2%,27.7%,40.5%,16.9%,6.7%,"2,312",16.5%,"4,292",4.2%,"4,551","$293,300","3,559","2,312","1,880",415,432,270,"1,247"
93645,86000US93645,California,Madera,,"138,498,817",-$1,-$1,-$1,-$1,"$52,712","$57,163",28.0%,56.5%,-$1,-$1,-$1,-$1,-$1,-$1,-$1,-$1,50,0,0,0,36,0,0,14,148,148,0,0,0,0,0,0,0,2.8,148,0,0,0,0,40,0,0,56,0,0,0,0,36,0,0,16,48.0,148,0.0%,52.7%,27.0%,9.5%,10.8%,50,0.0%,92,0.0%,77,-$1,50,50,50,0,0,0,0
93646,86000US93646,California,Fresno; Tulare,Orange Cove; Squaw Valley,"110,347,822","$27,761","$2,421","$40,987","$4,649","$11,375","$1,307",0.5%,0.5%,-$1,-$1,"$27,011","$5,692","$33,298","$11,370","$26,823","$2,536","3,048","1,322","1,004",272,193,157,86,14,"11,738",724,117,17,0,29,0,0,"10,851",275.5,"11,738","1,314",925,941,723,718,459,406,272,"1,298","1,262",830,806,592,522,356,314,26.3,"6,137",48.0%,23.6%,24.8%,2.5%,1.1%,"2,635",41.7%,"4,760",14.5%,"3,208","$158,700","3,048","2,635","1,447",820,"1,188",857,413
93647,86000US93647,California,Tulare,Cutler; East Orosi; Orosi,"276,777,785","$35,000","$5,335","$48,141","$6,074","$12,884","$1,618",1.8%,2.2%,"$15,723","$14,746","$31,510","$3,558","$50,143","$8,761","$40,202","$20,849","2,932",961,966,522,254,117,59,53,"11,407",441,0,252,755,0,0,129,"9,830",106.7,"11,407","1,109",952,697,824,541,486,482,444,"1,031","1,172","1,025",906,665,386,397,290,28.3,"6,234",41.4%,26.0%,25.5%,7.0%,0.1%,"2,612",31.9%,"4,460",18.7%,"3,129","$154,000","2,932","2,612","1,603",833,"1,009",617,320
93648,86000US93648,California,Fresno,Parlier; Sanger,"59,395,851","$35,210","$3,765","$44,513","$3,381","$12,344",$932,0.2%,0.3%,"$34,241","$14,909","$34,798","$5,105","$53,090","$9,490","$19,931","$5,172","4,149","1,529","1,184",855,235,275,64,7,"16,087",307,2,0,37,0,0,39,"15,702",701.5,"16,087","1,222","1,264","1,287","1,135","1,023",846,586,440,"1,726","1,617","1,208",855,"1,004",857,639,378,29.1,"9,111",52.4%,25.3%,16.9%,4.1%,1.2%,"3,485",32.2%,"7,302",6.5%,"4,413","$164,900","4,149","3,485","2,333","1,196","1,152",692,664
93650,86000US93650,California,Fresno,Fresno,"1,833,207","$35,440","$9,990","$42,448","$6,432","$16,923","$2,993",0.0%,2.8%,"$21,833","$17,892","$45,625","$13,507",-$1,-$1,"$35,394","$7,817","1,213",428,375,198,152,53,7,0,"3,173",762,93,0,128,0,0,223,"1,967","4,482.9","3,173",247,244,171,185,244,167,141,317,194,240,156,270,188,133,129,147,38.2,"2,119",20.1%,34.9%,39.5%,5.0%,0.5%,743,21.5%,"1,462",14.9%,"1,328","$80,300","1,213",743,411,159,332,140,470
93651,86000US93651,California,Fresno,Auberry,"74,389,132","$102,824","$43,614","$105,965","$22,829","$40,602","$7,201",9.7%,8.8%,-$1,-$1,"$78,523","$69,081","$120,417","$39,591","$61,131","$38,268",667,109,74,83,64,168,104,65,"1,798","1,185",0,18,9,24,0,143,419,62.6,"1,798",64,87,89,97,84,120,130,111,122,87,137,149,148,158,107,108,44.2,"1,364",9.7%,25.7%,41.4%,16.8%,6.5%,556,0.0%,"1,031",3.4%,707,"$363,500",667,556,508,141,48,48,111
93652,86000US93652,California,Fresno,Raisin City,"5,346,999","$39,259","$3,970","$55,313","$13,883","$15,925","$5,480",0.0%,21.6%,-$1,-$1,"$39,625","$17,823","$39,091","$36,646","$38,958","$19,792",142,6,86,17,11,22,0,0,540,117,0,0,7,0,0,3,413,261.6,540,23,55,22,29,11,50,27,15,42,30,70,40,52,35,21,18,36.4,349,59.9%,25.2%,14.9%,0.0%,0.0%,122,21.3%,280,12.1%,150,"$164,200",142,122,72,3,50,11,20
93653,86000US93653,California,Madera; Mariposa,,"614,774,592","$64,219","$24,515","$77,291","$13,282","$32,315","$5,267",2.2%,1.9%,-$1,-$1,"$89,250","$55,859","$70,000","$35,157","$43,047","$5,885",542,92,151,60,75,111,41,12,"1,377",952,3,52,34,9,0,148,179,5.8,"1,377",81,69,50,72,72,117,144,80,36,95,23,44,180,138,105,71,47.9,"1,084",11.7%,27.7%,37.8%,18.0%,4.8%,378,5.6%,688,6.5%,662,"$350,000",542,378,337,130,41,4,164
93654,86000US93654,California,Fresno; Tulare,Reedley,"255,383,504","$50,903","$4,581","$66,299","$3,494","$19,531","$1,234",2.3%,1.0%,"$24,602","$17,981","$47,901","$7,060","$69,107","$6,990","$43,739","$5,280","8,572","1,770","2,443","1,601",929,"1,123",510,196,"30,373","5,923",323,20,"1,223",32,0,"1,121","21,731",308.0,"30,373","2,353","2,430","1,974","1,783","1,792","1,729","1,439","1,489","2,633","2,897","2,015","1,839","1,661","1,829","1,263","1,247",32.5,"18,092",32.3%,21.5%,32.0%,10.6%,3.5%,"7,058",15.7%,"13,193",11.6%,"9,134","$226,100","8,572","7,058","5,169","2,543","1,889",907,"1,514"
93656,86000US93656,California,Fresno; Kings,Lanare; Riverdale,"284,519,855","$49,259","$10,520","$59,223","$6,811","$18,277","$1,929",1.8%,1.5%,-$1,-$1,"$52,946","$26,270","$59,300","$13,096","$30,163","$11,288","1,690",356,497,398,223,145,40,31,"5,806","1,643",27,0,2,0,0,93,"4,041",52.9,"5,806",527,411,411,380,338,262,353,223,382,375,510,419,311,307,301,296,33.3,"3,790",40.4%,26.6%,22.8%,6.4%,3.7%,"1,533",16.7%,"2,262",5.4%,"1,906","$174,900","1,690","1,533","1,143",482,390,185,157
93657,86000US93657,California,Fresno,Centerville; Minkler; Sanger,"553,160,560","$57,600","$8,119","$75,481","$4,205","$23,632","$1,270",3.8%,1.1%,"$43,462","$16,385","$61,576","$13,455","$78,441","$11,627","$37,898","$6,481","10,720","2,170","2,710","1,560","1,529","1,478",868,405,"35,666","8,660",28,123,"2,105",0,10,529,"24,211",167.0,"35,666","2,769","3,022","1,534","2,436","2,193","1,822","1,891","1,731","2,875","2,866","2,133","2,894","2,476","2,289","1,557","1,178",34.4,"22,100",25.4%,26.1%,31.9%,11.8%,4.8%,"8,310",17.9%,"16,142",5.5%,"11,640","$269,600","10,720","8,310","5,579","2,426","2,731","1,375","2,410"
93660,86000US93660,California,Fresno,San Joaquin,"210,354,296","$35,339","$4,896","$45,943","$5,949","$12,587","$1,369",0.0%,3.4%,-$1,-$1,"$26,250","$8,639","$55,795","$11,680","$23,000","$14,153","1,017",387,238,153,161,66,12,0,"4,090",113,48,0,0,0,0,0,"3,929",50.4,"4,090",427,375,321,234,260,249,121,134,379,339,326,303,211,181,126,104,27.7,"2,214",61.6%,18.5%,16.7%,2.5%,0.7%,960,36.6%,"1,584",13.1%,"1,117","$167,200","1,017",960,610,345,350,259,57
93662,86000US93662,California,Fresno,Parlier; Selma,"204,057,746","$42,308","$3,049","$61,959","$4,194","$18,720","$1,318",2.2%,0.8%,"$36,676","$12,244","$45,205","$6,152","$54,734","$11,220","$30,744","$4,796","8,807","2,071","2,857","1,414",883,"1,068",316,198,"30,725","4,067",265,32,"1,192",0,22,442,"24,705",390.0,"30,725","2,495","2,314","2,322","1,959","1,702","1,505","1,435","1,449","2,643","2,417","2,698","2,137","1,673","1,870","1,138",968,31.3,"18,381",30.8%,28.3%,30.4%,7.0%,3.5%,"6,710",18.7%,"13,228",7.0%,"9,438","$194,100","8,807","6,710","4,447","2,204","2,263","1,096","2,097"
93664,86000US93664,California,Fresno,Shaver Lake,"496,531,918","$100,938","$16,186","$110,739","$23,858","$62,376","$13,961",13.9%,9.3%,-$1,-$1,"$30,500","$25,527","$109,688","$17,404","$98,281","$45,295",209,32,28,23,20,61,16,29,380,347,0,0,3,0,8,0,22,2.0,380,0,0,0,0,11,54,58,36,0,27,21,3,22,39,56,53,62.2,342,0.0%,19.6%,33.9%,29.2%,17.3%,119,0.0%,181,0.0%,"2,386","$560,500",209,119,117,11,2,0,90
93665,86000US93665,California,Merced,South Dos Palos,"2,178,983","$40,263","$17,996","$37,006","$6,700","$12,055","$1,939",0.0%,13.9%,-$1,-$1,-$1,-$1,"$40,296","$23,765",-$1,-$1,234,43,177,0,14,0,0,0,752,0,128,0,0,0,0,0,624,893.8,752,110,126,64,35,14,32,10,37,0,50,44,40,76,68,0,46,28.5,409,47.4%,16.9%,35.7%,0.0%,0.0%,168,0.0%,282,31.6%,234,"$84,300",234,168,79,69,89,52,66
93666,86000US93666,California,Tulare,Sultana,"968,552","$28,750","$18,431","$35,592","$8,748","$9,547","$2,263",0.0%,14.9%,-$1,-$1,"$27,727","$16,018","$46,324","$24,303",-$1,-$1,217,87,68,43,19,0,0,0,866,81,0,13,0,0,0,0,772,"2,315.8",866,112,77,88,45,40,17,27,14,141,81,68,23,69,44,0,20,21.9,406,59.1%,29.8%,9.1%,2.0%,0.0%,176,35.8%,275,4.7%,244,"$106,600",217,176,66,37,110,82,41
93667,86000US93667,California,Fresno,,"288,439,617","$75,250","$24,177","$86,403","$14,746","$31,892","$5,572",4.6%,5.5%,-$1,-$1,"$114,041","$11,120","$72,292","$26,505","$50,789","$14,264",864,134,175,122,63,272,58,40,"2,405","1,846",0,218,10,0,0,103,228,21.6,"2,405",67,281,107,126,123,185,247,139,131,163,76,103,160,144,210,143,44.3,"1,678",11.7%,23.1%,45.6%,10.7%,8.9%,597,6.7%,"1,086",10.1%,"1,146","$287,600",864,597,494,166,103,29,267
93668,86000US93668,California,Fresno,Tranquillity,"87,172,629","$50,063","$19,106","$72,501","$21,092","$21,902","$6,207",7.4%,7.5%,-$1,-$1,"$39,412","$20,196","$77,794","$26,080",-$1,-$1,353,26,150,50,60,12,29,26,"1,219",226,0,0,0,0,0,0,993,36.2,"1,219",83,113,42,71,122,47,26,40,36,257,19,0,195,30,41,97,39.3,706,47.9%,19.0%,21.1%,10.9%,1.1%,257,6.6%,472,9.1%,353,"$264,000",353,257,207,180,50,0,96
93669,86000US93669,California,Madera,Bass Lake,"17,625,483",-$1,-$1,"$50,619","$12,036","$19,366","$6,405",0.0%,32.1%,-$1,-$1,-$1,-$1,"$32,188","$13,610","$66,188","$5,784",86,10,35,41,0,0,0,0,238,214,0,13,0,0,0,0,11,35.0,238,0,14,0,12,11,55,27,21,10,0,0,0,13,10,44,21,58.4,214,19.2%,35.0%,31.3%,5.1%,9.3%,76,0.0%,102,0.0%,201,"$256,800",86,76,76,0,0,0,10
93673,86000US93673,California,Tulare,Traver,"2,154,155","$44,375","$10,750","$51,657","$10,310","$13,484","$3,183",2.1%,3.3%,-$1,-$1,"$31,458","$13,842","$66,442","$8,859","$33,750","$14,006",187,47,59,41,20,16,0,4,754,59,0,0,3,0,0,22,670,906.6,754,65,89,62,42,53,20,45,21,36,90,47,44,49,22,47,22,28.0,418,52.2%,32.3%,15.1%,0.5%,0.0%,159,27.0%,289,4.2%,196,"$146,300",187,159,93,46,66,40,28
93675,86000US93675,California,Fresno,Squaw Valley,"204,126,337","$73,151","$13,549","$79,264","$11,668","$27,005","$4,380",6.7%,5.2%,-$1,-$1,"$76,695","$21,848","$68,162","$37,448","$51,765","$33,204","1,299",359,120,206,208,258,61,87,"3,905","2,715",29,51,137,0,0,0,973,49.5,"3,905",234,163,196,167,205,348,286,199,357,369,163,143,164,353,298,260,43.5,"2,520",15.2%,29.1%,34.6%,13.1%,8.0%,922,11.5%,"1,478",7.5%,"1,645","$229,200","1,299",922,725,226,197,76,377
93701,86000US93701,California,Fresno,Fresno,"3,924,020","$23,153","$2,106","$30,642","$3,138","$11,030","$1,145",0.2%,0.4%,"$22,669","$6,827","$29,617","$5,369","$22,590","$4,846",-$1,-$1,"3,417","1,922",984,247,141,115,0,8,"10,166","1,032",705,13,"1,151",0,0,31,"7,234","6,709.9","10,166",965,805,"1,105",589,581,734,341,183,"1,055",718,959,706,457,435,348,185,27.1,"5,530",49.2%,21.7%,24.0%,4.0%,1.1%,"1,984",41.1%,"3,915",11.4%,"4,083","$152,100","3,417","1,984",822,436,"1,162",828,"1,433"
93702,86000US93702,California,Fresno,Fresno,"13,643,087","$27,159","$1,788","$40,320","$2,261","$11,946",$692,0.9%,0.5%,"$23,973","$8,558","$26,213","$2,105","$34,388","$3,748","$21,776","$1,960","11,961","5,439","3,284","1,850",535,666,82,105,"43,601","2,810","1,434",119,"5,174",26,0,535,"33,503","8,277.2","43,601","3,519","3,952","3,786","2,590","2,334","2,156","1,615","1,461","3,995","3,983","3,717","3,136","2,652","2,004","1,620","1,081",28.3,"24,128",49.6%,23.4%,21.1%,4.5%,1.4%,"8,838",38.0%,"17,161",10.4%,"12,767","$123,500","11,961","8,838","4,733","2,339","4,105","2,176","3,123"
93703,86000US93703,California,Fresno,Fresno; Mayfair,"12,243,423","$33,550","$3,721","$48,020","$3,040","$15,521",$969,1.6%,1.0%,"$21,357","$9,528","$34,395","$8,535","$41,591","$8,156","$29,728","$4,272","9,901","3,859","2,396","1,472","1,165",650,199,160,"32,754","4,967","2,009",264,"4,152",22,0,741,"20,599","6,928.8","32,754","2,990","2,309","2,966","1,899","1,894","1,816","1,308","1,428","2,949","2,932","2,769","2,225","1,798","1,484","1,277",710,29.2,"18,737",33.2%,24.9%,33.7%,6.9%,1.3%,"6,960",33.6%,"13,779",12.2%,"10,594","$159,500","9,901","6,960","3,121","1,507","3,839","2,320","2,941"
93704,86000US93704,California,Fresno,Fresno; Old Fig Garden,"14,197,035","$60,109","$2,924","$76,825","$4,644","$30,372","$1,674",5.5%,1.3%,-$1,-$1,"$59,280","$3,448","$74,271","$13,330","$49,474","$7,040","11,334","2,349","2,126","2,418","1,869","1,376",572,624,"29,740","13,539","1,624",77,"1,555",26,36,416,"12,467","5,425.5","29,740","2,097","1,836","2,213","1,946","1,720","2,196","1,698","1,718","1,817","1,829","2,548","1,870","2,056","1,633","1,339","1,224",35.6,"20,424",14.4%,19.0%,35.2%,19.2%,12.3%,"6,848",11.7%,"15,140",7.2%,"12,048","$262,000","11,334","6,848","4,181","1,867","2,667","1,288","4,486"
93705,86000US93705,California,Fresno,Fresno; Old Fig Garden,"12,590,423","$40,516","$2,021","$51,749","$3,092","$18,112","$1,131",1.5%,0.7%,"$21,897","$7,983","$37,975","$4,936","$44,824","$3,920","$37,500","$5,732","12,103","4,187","3,303","1,944","1,197",952,339,181,"36,808","8,621","4,730",239,"1,909",15,83,793,"20,418","7,571.8","36,808","2,712","2,737","2,958","2,487","2,301","2,042","1,785","1,770","3,269","2,577","3,128","2,477","1,951","1,910","1,599","1,105",31.7,"22,751",22.1%,29.6%,35.6%,9.9%,2.8%,"8,263",27.6%,"16,097",12.6%,"12,820","$172,300","12,103","8,263","3,782","1,592","4,481","2,549","3,840"
93706,86000US93706,California,Fresno,Easton; Fresno; Raisin City; West Park,"423,169,043","$32,325","$2,225","$48,222","$2,102","$14,238",$696,1.7%,0.6%,"$21,212","$16,170","$30,365","$4,197","$40,154","$5,881","$30,124","$4,582","11,026","4,591","2,737","1,597",767,859,286,189,"40,586","4,170","5,154",74,"3,189",19,5,651,"27,324",248.4,"40,586","3,920","3,502","2,996","2,496","1,982","1,927","1,848","1,475","3,513","3,502","3,340","2,431","2,298","2,197","1,695","1,464",29.3,"23,114",38.9%,27.0%,25.6%,6.1%,2.4%,"7,882",37.3%,"14,643",12.2%,"11,968","$161,600","11,026","7,882","4,256","2,146","3,626","1,871","3,144"
93710,86000US93710,California,Fresno,Fresno,"18,102,900","$51,605","$4,733","$64,675","$2,593","$23,203","$1,169",2.5%,0.8%,"$26,958","$3,554","$52,417","$10,316","$68,017","$7,329","$56,283","$6,749","11,238","2,821","2,703","2,235","1,221","1,582",396,280,"33,448","14,507","1,567",186,"3,705",50,95,870,"12,468","4,785.4","33,448","2,342","2,647","4,402","2,026","1,346","1,391","1,444","1,980","1,997","2,507","3,726","2,489","1,138","1,456","1,218","1,339",28.4,"19,372",10.5%,23.3%,39.7%,19.4%,7.2%,"6,771",16.6%,"17,018",9.3%,"12,030","$246,600","11,238","6,771","4,088","1,590","2,683","1,347","4,467"
93711,86000US93711,California,Fresno,Fresno,"29,213,968","$73,930","$3,455","$108,756","$6,018","$46,464","$2,949",10.1%,1.4%,"$47,028","$12,543","$70,815","$7,896","$96,702","$7,587","$65,399","$8,919","15,929","1,969","3,390","2,727","2,007","2,811","1,412","1,613","38,007","21,757","1,144",297,"3,586",17,133,891,"10,182","3,369.5","38,007","1,786","2,129","2,724","2,110","2,153","2,495","2,825","3,504","1,720","1,913","2,558","2,589","2,026","2,257","2,243","2,975",43.8,"28,195",5.7%,17.1%,33.7%,26.0%,17.5%,"10,097",5.9%,"19,699",6.7%,"16,808","$357,300","15,929","10,097","7,768","2,149","2,329","1,105","5,832"
93720,86000US93720,California,Fresno,Fort Washington; Fresno,"25,684,065","$89,671","$3,914","$109,456","$4,246","$43,160","$1,846",11.3%,1.3%,"$48,095","$14,789","$92,953","$7,443","$103,619","$8,267","$68,317","$7,936","18,125","1,871","2,633","3,111","2,748","3,844","1,878","2,040","47,081","26,056","1,436",125,"6,026",87,80,"1,528","11,743","4,747.7","47,081","2,510","3,154","3,540","3,110","3,446","3,536","2,356","3,268","3,185","3,023","3,582","3,022","2,428","3,006","2,048","1,867",37.3,"32,567",5.8%,14.2%,32.2%,28.9%,18.9%,"11,932",5.3%,"25,035",4.9%,"18,769","$333,000","18,125","11,932","8,962","3,730","2,970","1,532","6,193"
93721,86000US93721,California,Fresno,Fresno,"5,309,904","$28,529","$5,834","$45,334","$5,986","$16,832","$2,000",2.0%,1.7%,-$1,-$1,"$49,550","$12,042","$16,544","$8,373","$18,071","$7,603","2,032",936,427,252,243,82,51,41,"7,650","1,637",688,79,252,46,0,187,"4,761","3,731.4","7,650",249,247,656,393,281,241,193,342,273,404,"1,328","1,170",666,584,334,289,33.2,"5,632",35.8%,24.6%,26.5%,7.4%,5.7%,870,36.7%,"2,146",9.4%,"2,279","$168,500","2,032",870,390,130,480,342,"1,162"
93722,86000US93722,California,Fresno,Fresno,"49,805,305","$59,028","$2,777","$74,452","$3,661","$23,356","$1,200",4.0%,0.9%,"$41,734","$15,834","$57,814","$4,065","$64,074","$7,246","$52,783","$5,396","25,288","4,548","5,534","5,942","3,565","3,395","1,289","1,015","84,621","21,061","8,644",405,"13,886",22,261,"2,200","38,142","4,400.5","84,621","6,221","7,288","6,517","6,608","5,196","4,728","3,462","2,594","7,033","7,149","6,746","6,943","5,223","3,998","2,891","2,024",30.9,"50,971",19.6%,25.0%,36.8%,13.0%,5.5%,"19,212",15.9%,"41,242",9.1%,"26,542","$241,300","25,288","19,212","11,910","5,854","7,302","4,138","6,076"
93723,86000US93723,California,Fresno,Biola; Fresno,"110,427,908","$82,702","$7,546","$101,167","$12,423","$29,789","$4,111",5.8%,2.3%,-$1,-$1,"$81,125","$8,190","$102,759","$19,873","$51,888","$19,326","3,906",570,570,578,696,871,396,225,"13,936","3,527",270,0,"2,409",0,17,505,"7,208",326.9,"13,936","1,404",793,968,"1,082",974,841,568,611,"1,087","1,095",762,822,"1,132",759,512,526,34.5,"8,778",19.8%,26.5%,32.8%,16.6%,4.3%,"3,207",13.7%,"6,685",6.3%,"4,111","$324,700","3,906","3,207","2,342","1,255",865,366,699
